"","airline","source_city","departure_time","stops","arrival_time","destination_city","class","duration","days_left","price"
"193889","1","1","2","1","2","0","1","49.83","2","23891"
"194359","1","1","2","0","2","0","1","49.83","9","17538"
"119508","1","0","2","0","2","1","1","47.75","47","7461"
"261152","1","0","2","0","2","1","0","47.75","47","55122"
"193926","5","1","4","0","4","0","1","47.08","3","17223"
"194141","1","1","0","1","4","0","1","45.83","6","12813"
"194650","1","1","0","1","4","0","1","45.83","13","12813"
"293606","1","1","0","1","4","0","0","45.83","6","51928"
"197808","1","1","2","0","0","4","1","44.5","1","32439"
"170753","1","3","5","0","0","4","1","42","1","33853"
"115024","1","0","1","1","5","3","1","41.83","45","6920"
"115297","1","0","1","1","5","3","1","41.83","47","6500"
"84180","1","0","1","0","3","2","1","41.58","1","21921"
"197865","1","1","1","0","5","4","1","41.5","2","31398"
"187539","1","1","1","0","5","2","1","41.08","49","5601"
"159199","1","3","1","0","5","5","1","40.92","7","10967"
"160189","1","3","1","0","5","5","1","40.92","14","10967"
"116113","1","0","0","1","1","1","1","40.75","9","11522"
"115639","1","0","1","1","5","1","1","40.67","2","17674"
"170752","1","3","5","0","0","4","1","40.67","1","26494"
"259020","1","0","1","1","5","1","0","40.67","2","65674"
"135409","1","4","1","0","5","5","1","40.5","48","6786"
"135586","1","4","1","0","5","5","1","40.5","49","6786"
"197528","1","1","2","1","4","0","1","40.5","46","6388"
"127708","1","4","1","1","5","5","1","40.42","3","12247"
"127817","1","4","1","1","5","5","1","40.42","4","11323"
"128088","1","4","1","1","5","5","1","40.42","6","11323"
"128235","1","4","1","1","5","5","1","40.42","7","11323"
"128385","1","4","1","1","5","5","1","40.42","8","11323"
"128653","1","4","1","1","5","5","1","40.42","10","11323"
"128840","1","4","1","1","5","5","1","40.42","11","11323"
"129204","1","4","1","1","5","5","1","40.42","13","11323"
"129371","1","4","1","1","5","5","1","40.42","14","11323"
"129528","1","4","1","1","5","5","1","40.42","15","10063"
"129874","1","4","1","0","5","5","1","40.42","17","7207"
"130448","1","4","1","0","5","5","1","40.42","20","7732"
"130628","1","4","1","0","5","5","1","40.42","21","8047"
"130789","1","4","1","0","5","5","1","40.42","22","7732"
"131128","1","4","1","0","5","5","1","40.42","24","7207"
"131695","1","4","1","0","5","5","1","40.42","27","6786"
"131866","1","4","1","0","5","5","1","40.42","28","6786"
"132050","1","4","1","0","5","5","1","40.42","29","7207"
"132955","1","4","1","0","5","5","1","40.42","34","7207"
"133127","1","4","1","0","5","5","1","40.42","35","7207"
"133661","1","4","1","0","5","5","1","40.42","38","7732"
"134204","1","4","1","0","5","5","1","40.42","41","7207"
"134376","1","4","1","0","5","5","1","40.42","42","6786"
"134742","1","4","1","0","5","5","1","40.42","44","7207"
"53030","1","5","4","1","3","0","1","40","2","24531"
"94101","5","0","1","0","5","5","1","40","1","19400"
"194220","1","1","1","0","5","0","1","39.92","7","13653"
"194346","1","1","1","0","5","0","1","39.92","9","13653"
"194426","1","1","1","0","5","0","1","39.92","10","13653"
"194732","1","1","1","0","5","0","1","39.92","14","14493"
"194864","1","1","1","0","5","0","1","39.92","16","6398"
"194957","1","1","1","0","5","0","1","39.92","17","5978"
"195298","1","1","1","0","5","0","1","39.92","21","5085"
"195913","1","1","1","0","5","0","1","39.92","28","5663"
"196522","1","1","1","0","5","0","1","39.92","35","5085"
"197137","1","1","1","0","5","0","1","39.92","42","5085"
"147928","1","4","1","1","5","3","1","39.83","48","6972"
"149242","1","4","1","1","5","1","1","39.83","15","12117"
"77371","5","5","1","1","5","1","1","39.75","1","20285"
"77469","5","5","1","1","5","1","1","39.75","2","17208"
"29418","1","2","1","1","5","3","1","39.67","7","10474"
"29909","1","2","1","1","5","3","1","39.67","11","10474"
"30301","1","2","1","1","5","3","1","39.67","14","9831"
"158656","1","3","1","0","5","5","1","39.67","2","19167"
"194219","1","1","1","0","5","0","1","39.42","7","13653"
"194345","1","1","1","0","5","0","1","39.42","9","13653"
"181291","1","1","1","0","5","2","1","39.25","9","13107"
"158621","1","3","1","0","5","5","1","39.08","2","15702"
"158655","1","3","1","0","5","5","1","39.08","2","19167"
"193715","1","1","1","0","5","5","1","39.08","48","5558"
"94106","5","0","1","0","5","5","1","39","1","20293"
"94658","1","0","1","0","5","5","1","39","5","13162"
"95825","1","0","1","0","5","5","1","39","12","13162"
"103354","5","0","1","1","5","4","1","38.83","6","13840"
"135640","1","4","4","0","3","0","1","38.83","1","17202"
"158654","1","3","1","0","5","5","1","38.75","2","19167"
"180629","1","1","1","0","5","2","1","38.67","3","16331"
"94113","1","0","1","0","5","5","1","38.58","1","20827"
"94358","1","0","1","0","5","5","1","38.58","3","15588"
"94816","1","0","1","0","5","5","1","38.58","6","13477"
"95130","1","0","1","0","5","5","1","38.58","8","13162"
"95289","1","0","1","0","5","5","1","38.58","9","14737"
"95440","1","0","1","0","5","5","1","38.58","10","13740"
"188395","1","1","1","0","5","5","1","38.58","9","14601"
"188518","1","1","1","0","5","5","1","38.58","10","16607"
"188950","1","1","1","0","5","5","1","38.58","13","13971"
"189204","1","1","1","0","5","5","1","38.58","15","11451"
"189334","1","1","1","0","5","5","1","38.58","16","8613"
"189468","1","1","1","0","5","5","1","38.58","17","6503"
"189772","1","1","1","0","5","5","1","38.58","19","6828"
"190063","1","1","1","0","5","5","1","38.58","21","6513"
"190332","1","1","1","0","5","5","1","38.58","23","6933"
"190476","1","1","1","0","5","5","1","38.58","24","6513"
"190765","1","1","1","0","5","5","1","38.58","26","5778"
"191749","1","1","1","0","5","5","1","38.58","33","6293"
"192278","1","1","1","0","5","5","1","38.58","37","6093"
"192415","1","1","1","0","5","5","1","38.58","38","6293"
"135707","1","4","4","1","3","0","1","38.5","2","16782"
"181290","1","1","1","0","5","2","1","38.33","9","13107"
"197921","1","1","1","1","5","4","1","38.33","3","19757"
"148125","1","4","4","0","5","1","1","37.92","2","16782"
"198276","1","1","1","1","5","4","1","37.92","7","14194"
"198369","1","1","1","1","5","4","1","37.92","8","15065"
"198445","1","1","1","1","5","4","1","37.92","9","15065"
"198662","1","1","1","1","5","4","1","37.92","11","13564"
"204443","5","1","1","0","5","3","1","37.92","22","6015"
"204623","5","1","1","0","5","3","1","37.92","25","6015"
"204716","5","1","1","1","5","3","1","37.92","26","6015"
"204891","5","1","1","1","5","3","1","37.92","29","6015"
"205530","5","1","1","1","5","3","1","37.92","36","6015"
"283030","5","3","1","0","5","4","0","37.92","2","64733"
"70369","5","5","4","1","5","3","1","37.83","1","17985"
"197840","5","1","1","1","5","4","1","37.83","2","19670"
"295953","5","1","1","0","5","4","0","37.83","2","68963"
"79324","1","5","4","1","5","1","1","37.75","16","9893"
"115780","1","0","1","0","5","1","1","37.75","4","15994"
"259070","1","0","1","1","5","1","0","37.75","4","51114"
"77363","5","5","4","1","5","1","1","37.67","1","19235"
"77468","5","5","4","1","5","1","1","37.67","2","17208"
"188359","1","1","4","1","5","5","1","37.67","9","11871"
"115821","1","0","2","1","1","1","1","37.58","5","11637"
"116123","1","0","2","1","1","1","1","37.58","9","13527"
"116132","1","0","2","1","1","1","1","37.58","9","14314"
"171161","1","3","1","0","5","4","1","37.58","6","12197"
"171270","1","3","1","1","5","4","1","37.58","7","12827"
"171365","1","3","1","0","5","4","1","37.58","8","12197"
"171449","1","3","1","1","5","4","1","37.58","9","12659"
"171560","1","3","1","1","5","4","1","37.58","10","12197"
"171708","1","3","1","0","5","4","1","37.58","11","12197"
"171945","1","3","1","1","5","4","1","37.58","13","12197"
"172067","1","3","1","1","5","4","1","37.58","14","12197"
"172185","1","3","1","1","5","4","1","37.58","15","12197"
"234387","5","5","1","0","2","4","0","37.58","5","58708"
"234485","5","5","1","0","2","4","0","37.58","6","72338"
"158620","1","3","1","0","2","5","1","37.5","2","15702"
"158653","1","3","1","0","2","5","1","37.5","2","19167"
"35407","5","2","1","1","2","1","1","37.42","1","20071"
"166839","1","3","4","1","3","0","1","37.42","15","10204"
"102968","1","0","4","1","5","4","1","37.33","3","14034"
"103604","1","0","4","1","5","4","1","37.33","8","14034"
"104031","1","0","4","1","5","4","1","37.33","11","14034"
"104472","1","0","4","1","5","4","1","37.33","14","14643"
"77370","5","5","1","1","5","1","1","37.25","1","20285"
"84437","5","0","1","0","2","2","1","37.25","3","20711"
"84599","5","0","1","0","2","2","1","37.17","4","13403"
"62772","1","5","1","0","5","4","1","37.08","9","12007"
"62956","1","5","1","0","5","4","1","37.08","10","12007"
"188356","1","1","4","1","5","5","1","37.08","9","11409"
"61983","1","5","1","0","5","4","1","37","4","12637"
"62771","1","5","1","0","5","4","1","37","9","12007"
"115616","1","0","2","1","1","1","1","37","2","13474"
"115618","1","0","2","1","1","1","1","37","2","13947"
"115671","1","0","2","1","1","1","1","37","3","11637"
"115820","1","0","2","1","1","1","1","37","5","11637"
"115972","1","0","2","1","1","1","1","37","7","12004"
"116118","1","0","2","1","1","1","1","37","9","12109"
"116122","1","0","2","1","1","1","1","37","9","12897"
"116206","1","0","2","1","1","1","1","37","10","12897"
"116367","1","0","2","1","1","1","1","37","12","11322"
"116506","1","0","2","1","1","1","1","37","14","8644"
"116724","1","0","2","1","1","1","1","37","16","8959"
"116816","1","0","2","1","1","1","1","37","17","8959"
"116997","1","0","2","1","1","1","1","37","19","6754"
"117179","1","0","2","1","1","1","1","37","21","8644"
"117310","1","0","2","1","1","1","1","37","23","5515"
"117330","1","0","2","1","1","1","1","37","23","6754"
"117434","1","0","2","1","1","1","1","37","24","6754"
"117632","1","0","2","1","1","1","1","37","26","8644"
"117806","1","0","2","1","1","1","1","37","28","8644"
"117934","1","0","2","1","1","1","1","37","30","5515"
"117957","1","0","2","1","1","1","1","37","30","6213"
"118066","1","0","2","1","1","1","1","37","31","6213"
"118246","1","0","2","1","1","1","1","37","33","6213"
"118432","1","0","2","1","1","1","1","37","35","6476"
"118568","1","0","2","1","1","1","1","37","37","5515"
"118594","1","0","2","1","1","1","1","37","37","6213"
"118692","1","0","2","1","1","1","1","37","38","6213"
"118873","1","0","2","1","1","1","1","37","40","6213"
"119059","1","0","2","1","1","1","1","37","42","6843"
"119199","1","0","2","1","1","1","1","37","44","5515"
"119224","1","0","2","1","1","1","1","37","44","6213"
"119491","1","0","2","1","1","1","1","37","47","6213"
"127721","1","4","4","1","5","5","1","37","3","15135"
"127816","1","4","4","1","5","5","1","37","4","11323"
"128087","1","4","4","1","5","5","1","37","6","11323"
"128234","1","4","4","1","5","5","1","37","7","11323"
"128405","1","4","4","1","5","5","1","37","8","11785"
"128669","1","4","4","1","5","5","1","37","10","12247"
"128839","1","4","4","1","5","5","1","37","11","11323"
"129203","1","4","4","1","5","5","1","37","13","11323"
"129370","1","4","4","1","5","5","1","37","14","11323"
"129539","1","4","4","1","5","5","1","37","15","10525"
"129896","1","4","4","0","5","5","1","37","17","7732"
"130089","1","4","4","0","5","5","1","37","18","7732"
"130447","1","4","4","0","5","5","1","37","20","7732"
"130627","1","4","4","0","5","5","1","37","21","8047"
"130796","1","4","4","0","5","5","1","37","22","8401"
"131141","1","4","4","0","5","5","1","37","24","7732"
"131343","1","4","4","0","5","5","1","37","25","7207"
"131694","1","4","4","0","5","5","1","37","27","6786"
"131870","1","4","4","0","5","5","1","37","28","7207"
"132049","1","4","4","0","5","5","1","37","29","7207"
"132416","1","4","4","0","5","5","1","37","31","7732"
"132598","1","4","4","0","5","5","1","37","32","7207"
"132959","1","4","4","0","5","5","1","37","34","7732"
"133126","1","4","4","0","5","5","1","37","35","7207"
"133305","1","4","4","0","5","5","1","37","36","6786"
"133853","1","4","4","0","5","5","1","37","39","7732"
"134203","1","4","4","0","5","5","1","37","41","7207"
"134375","1","4","4","0","5","5","1","37","42","6786"
"134555","1","4","4","0","5","5","1","37","43","7207"
"134741","1","4","4","0","5","5","1","37","44","7207"
"135081","1","4","4","0","5","5","1","37","46","7732"
"135411","1","4","4","0","5","5","1","37","48","7207"
"135589","1","4","4","0","5","5","1","37","49","7207"
"195072","1","1","1","0","2","0","1","37","18","8344"
"202749","1","1","1","0","2","3","1","37","3","14769"
"10540","1","2","1","1","2","0","1","36.92","4","12321"
"29417","1","2","4","1","5","3","1","36.92","7","10474"
"29534","1","2","4","1","5","3","1","36.92","8","10474"
"30300","1","2","4","1","5","3","1","36.92","14","9831"
"103129","5","0","1","0","2","4","1","36.92","4","16599"
"70430","1","5","1","0","5","3","1","36.83","2","10777"
"115842","1","0","2","0","1","1","1","36.83","5","12949"
"116210","1","0","2","1","1","1","1","36.83","10","13264"
"116389","1","0","2","0","1","1","1","36.83","12","13264"
"116783","1","0","2","1","1","1","1","36.83","17","5148"
"116967","1","0","2","0","1","1","1","36.83","19","5148"
"117410","1","0","2","0","1","1","1","36.83","24","5148"
"117592","1","0","2","0","1","1","1","36.83","26","5148"
"118038","1","0","2","0","1","1","1","36.83","31","5148"
"118217","1","0","2","0","1","1","1","36.83","33","5148"
"118665","1","0","2","0","1","1","1","36.83","38","5148"
"118843","1","0","2","0","1","1","1","36.83","40","5148"
"119465","1","0","2","0","1","1","1","36.83","47","5148"
"176397","1","3","4","1","5","1","1","36.83","2","18602"
"176448","1","3","4","1","5","1","1","36.83","3","15368"
"177020","1","3","4","1","5","1","1","36.83","10","13446"
"177355","1","3","4","1","5","1","1","36.83","15","9380"
"188355","1","1","4","1","5","5","1","36.75","9","11409"
"192989","1","1","4","0","5","5","1","36.75","42","5320"
"112504","1","0","1","1","2","3","1","36.58","25","6935"
"113391","1","0","1","1","2","3","1","36.58","32","6515"
"114273","1","0","1","1","2","3","1","36.58","39","6515"
"190334","1","1","4","0","5","5","1","36.58","23","7479"
"191315","1","1","4","0","5","5","1","36.58","30","7479"
"192261","1","1","4","0","5","5","1","36.58","37","4802"
"115301","5","0","4","1","5","3","1","36.5","47","8806"
"194336","5","1","1","0","2","0","1","36.5","9","12812"
"194414","5","1","1","0","2","0","1","36.5","10","12276"
"35413","5","2","1","1","2","1","1","36.42","1","23221"
"72651","1","5","4","1","5","3","1","36.42","18","5880"
"73719","1","5","4","1","5","3","1","36.42","25","5880"
"75849","1","5","4","1","5","3","1","36.42","39","5460"
"119859","5","4","4","0","5","2","1","36.42","2","17922"
"115622","1","0","1","0","2","1","1","36.25","2","14002"
"53623","1","5","4","1","3","0","1","36.17","6","14766"
"54101","1","5","4","0","3","0","1","36.17","9","16446"
"119240","1","0","1","0","2","1","1","36.17","44","7461"
"260992","1","0","1","0","2","1","0","36.17","44","55122"
"61686","1","5","1","0","5","4","1","36.08","2","13361"
"62616","1","5","1","0","5","4","1","36.08","8","12007"
"62770","1","5","1","0","5","4","1","36.08","9","12007"
"62955","1","5","1","0","5","4","1","36.08","10","12007"
"63169","1","5","1","0","5","4","1","36.08","11","12007"
"63711","1","5","1","0","5","4","1","36.08","14","12007"
"63897","1","5","1","1","5","4","1","36.08","15","12007"
"158707","1","3","4","0","5","5","1","36.08","3","14779"
"159198","1","3","4","0","5","5","1","36.08","7","10967"
"160188","1","3","4","0","5","5","1","36.08","14","10967"
"175717","1","3","1","0","2","4","1","36.08","44","6312"
"234484","5","5","1","0","2","4","0","36.08","6","72338"
"119757","5","4","4","0","5","2","1","36","1","19201"
"119862","5","4","4","0","5","2","1","36","2","17996"
"143159","1","4","4","0","5","3","1","36","8","10545"
"143370","1","4","4","1","5","3","1","36","10","10545"
"144053","1","4","4","0","5","3","1","36","16","6475"
"145541","1","4","4","1","5","3","1","36","28","6475"
"147590","1","4","4","1","5","3","1","36","45","6475"
"147705","1","4","4","0","5","3","1","36","46","6055"
"149142","1","4","4","1","5","1","1","36","14","13370"
"149241","1","4","4","1","5","1","1","36","15","12117"
"175969","1","3","1","0","2","4","1","35.92","46","6312"
"176201","1","3","1","0","2","4","1","35.92","48","6312"
"176320","1","3","1","0","2","4","1","35.92","49","6312"
"20464","5","2","4","1","2","4","1","35.83","3","17462"
"35403","5","2","4","1","2","1","1","35.83","1","18757"
"35499","5","2","4","1","2","1","1","35.83","2","18757"
"35588","5","2","4","1","2","1","1","35.83","3","18757"
"115307","1","0","1","0","2","3","1","35.83","47","10090"
"110192","1","0","4","1","5","3","1","35.75","6","13225"
"110632","1","0","4","1","5","3","1","35.75","10","13225"
"111480","1","0","4","1","5","3","1","35.75","17","8240"
"111610","1","0","4","0","5","3","1","35.75","18","6920"
"111865","1","0","4","1","5","3","1","35.75","20","8240"
"112113","1","0","4","0","5","3","1","35.75","22","7263"
"112360","1","0","4","1","5","3","1","35.75","24","7263"
"112503","1","0","4","0","5","3","1","35.75","25","6920"
"112748","1","0","4","1","5","3","1","35.75","27","6500"
