,airline,source_city,departure_time,stops,arrival_time,destination_city,class,days_left,price
0,4,2,2,2,5,5,1,1,5953
1,4,2,1,2,4,5,1,1,5953
2,0,2,1,2,1,5,1,1,5956
3,5,2,4,2,0,5,1,1,5955
4,5,2,4,2,4,5,1,1,5955
5,5,2,4,2,0,5,1,1,5955
6,5,2,4,2,4,5,1,1,6060
7,5,2,0,2,2,5,1,1,6060
8,2,2,1,2,4,5,1,1,5954
9,2,2,0,2,2,5,1,1,5954
10,2,2,0,2,2,5,1,1,5954
11,2,2,4,2,0,5,1,1,5954
12,3,2,1,2,4,5,1,1,5955
13,3,2,4,2,0,5,1,1,5955
14,3,2,0,2,2,5,1,1,5955
15,3,2,4,2,4,5,1,1,5955
16,1,2,1,2,4,5,1,1,5955
17,1,2,1,2,4,5,1,1,5955
18,0,2,2,0,1,5,1,1,5949
19,0,2,2,0,4,5,1,1,5949
20,2,2,1,0,2,5,1,1,5954
21,2,2,1,0,5,5,1,1,5954
22,2,2,2,0,4,5,1,1,5954
23,1,2,2,0,5,5,1,1,5955
24,3,2,4,2,4,5,1,1,6165
25,5,2,0,2,2,5,1,1,6690
26,3,2,2,2,2,5,1,1,6585
27,0,2,4,0,0,5,1,1,8869
28,4,2,2,2,5,5,1,1,10260
29,3,2,2,2,5,5,1,1,10470
30,2,2,1,0,0,5,1,1,10575
31,3,2,0,0,2,5,1,1,10838
32,5,2,2,0,4,5,1,1,12150
33,5,2,2,0,4,5,1,1,12150
34,5,2,0,0,4,5,1,1,12150
35,5,2,4,0,4,5,1,1,12150
36,5,2,4,0,4,5,1,1,12150
37,1,2,1,0,0,5,1,1,11900
38,4,2,2,0,5,5,1,1,12123
39,4,2,2,0,4,5,1,1,12123
40,1,2,5,0,4,5,1,1,12150
41,1,2,0,0,4,5,1,1,12150
42,1,2,4,0,4,5,1,1,12150
43,1,2,1,0,4,5,1,1,12150
44,1,2,5,0,0,5,1,1,12215
45,4,2,2,0,0,5,1,1,12230
46,5,2,2,2,5,5,1,1,12780
47,5,2,0,0,0,5,1,1,12885
48,0,2,2,0,1,5,1,1,12539
49,1,2,2,0,0,5,1,1,12938
50,1,2,5,0,4,5,1,1,12990
51,1,2,4,0,4,5,1,1,12990
52,1,2,1,0,4,5,1,1,12990
53,1,2,0,0,0,5,1,1,13086
54,3,2,0,0,2,5,1,1,13279
55,3,2,2,0,5,5,1,1,13279
56,3,2,4,0,2,5,1,1,13279
57,3,2,0,0,5,5,1,1,13279
58,3,2,5,0,4,5,1,1,13279
59,5,2,0,0,0,5,1,1,13673
60,1,2,2,0,0,5,1,1,13410
61,5,2,1,0,0,5,1,1,13935
62,5,2,2,0,4,5,1,1,14040
63,5,2,0,0,0,5,1,1,14040
64,5,2,2,0,5,5,1,1,14093
65,5,2,2,0,5,5,1,1,14093
66,5,2,2,0,5,5,1,1,14093
67,3,2,0,0,5,5,1,1,13767
68,2,2,0,0,5,5,1,1,13932
69,5,2,5,0,0,5,1,1,14408
70,5,2,5,0,5,5,1,1,14408
71,1,2,5,0,0,5,1,1,14250
72,2,2,4,0,2,5,1,1,14539
73,5,2,1,0,5,5,1,1,14985
74,1,2,0,0,5,5,1,1,14670
75,1,2,2,0,4,5,1,1,15195
76,5,2,2,2,5,5,1,1,15720
77,5,2,2,0,5,5,1,1,15983
78,5,2,2,0,5,5,1,1,15983
79,3,2,4,0,0,5,1,1,15720
80,4,2,1,0,4,5,1,1,15720
81,3,2,1,0,0,5,1,1,15720
82,1,2,2,0,5,5,1,1,16245
83,5,2,2,0,5,5,1,1,16613
84,5,2,1,0,5,5,1,1,16665
85,5,2,2,0,5,5,1,1,16665
86,1,2,2,0,5,5,1,1,16455
87,1,2,2,0,5,5,1,1,16665
88,5,2,2,0,5,5,1,1,17348
89,5,2,0,0,5,5,1,1,17348
90,5,2,4,0,5,5,1,1,17348
91,5,2,4,0,5,5,1,1,17348
92,5,2,2,0,4,5,1,1,17348
93,5,2,1,0,0,5,1,1,17400
94,5,2,2,0,0,5,1,1,17505
95,5,2,0,0,5,5,1,1,17610
96,1,2,5,0,5,5,1,1,17295
97,5,2,0,0,2,5,1,1,17663
98,1,2,5,0,5,5,1,1,18030
99,5,2,2,0,0,5,1,1,18398
100,5,2,1,0,5,5,1,1,18450
101,2,2,4,0,2,5,1,1,18487
102,5,2,0,0,5,5,1,1,18923
103,5,2,4,0,5,5,1,1,18923
104,5,2,4,0,5,5,1,1,18923
105,5,2,2,0,4,5,1,1,19238
106,5,2,2,0,4,5,1,1,19920
107,1,2,0,0,5,5,1,1,19710
108,1,2,1,0,5,5,1,1,19710
109,5,2,1,0,5,5,1,1,20130
110,1,2,2,0,2,5,1,1,19815
111,5,2,2,0,5,5,1,1,21075
112,2,2,4,0,2,5,1,1,21111
113,1,2,4,0,2,5,1,1,23206
114,1,2,4,0,0,5,1,1,24540
115,1,2,1,0,2,5,1,1,25800
116,5,2,2,0,4,5,1,1,27270
117,1,2,4,0,2,5,1,1,29580
118,4,2,1,2,4,5,1,2,5953
119,4,2,2,2,5,5,1,2,5953
120,5,2,4,2,4,5,1,2,5955
121,5,2,2,2,5,5,1,2,5955
122,5,2,2,2,5,5,1,2,5955
123,5,2,4,2,4,5,1,2,5955
124,5,2,2,2,5,5,1,2,5955
125,5,2,5,2,5,5,1,2,6060
126,2,2,1,2,4,5,1,2,5954
127,2,2,0,2,2,5,1,2,5954
128,2,2,2,2,5,5,1,2,5954
129,2,2,5,2,5,5,1,2,5954
130,2,2,4,2,0,5,1,2,5954
131,2,2,2,2,5,5,1,2,5954
132,3,2,1,2,4,5,1,2,5955
133,3,2,2,2,2,5,1,2,5955
134,3,2,2,2,5,5,1,2,5955
135,3,2,4,2,0,5,1,2,5955
136,3,2,0,2,2,5,1,2,5955
137,3,2,5,2,5,5,1,2,5955
138,4,2,1,2,4,5,1,2,5955
139,3,2,4,2,4,5,1,2,5955
140,3,2,4,2,4,5,1,2,5955
141,0,2,1,2,1,5,1,2,5956
142,1,2,2,2,2,5,1,2,5955
143,1,2,1,2,4,5,1,2,5955
144,1,2,1,2,4,5,1,2,5955
145,1,2,2,2,5,5,1,2,5955
146,1,2,2,2,5,5,1,2,5955
147,0,2,2,0,1,5,1,2,5949
148,0,2,2,0,4,5,1,2,5949
149,2,2,1,0,5,5,1,2,5954
150,2,2,2,0,1,5,1,2,5954
151,1,2,0,0,2,5,1,2,5955
152,1,2,2,0,5,5,1,2,5955
153,5,2,4,2,0,5,1,2,6375
154,5,2,0,2,2,5,1,2,7530
155,5,2,0,2,2,5,1,2,7530
156,5,2,4,2,0,5,1,2,7530
157,0,2,2,0,1,5,1,2,7419
158,3,2,4,2,0,5,1,2,7845
159,3,2,1,0,2,5,1,2,8396
160,4,2,2,0,5,5,1,2,8869
161,4,2,2,0,4,5,1,2,9183
162,1,2,1,0,0,5,1,2,9840
163,1,2,4,0,5,5,1,2,9840
164,1,2,4,0,5,5,1,2,9840
165,5,2,0,0,0,5,1,2,10566
166,1,2,0,0,2,5,1,2,10303
167,3,2,4,0,0,5,1,2,10523
168,1,2,1,0,0,5,1,2,10523
169,5,2,5,0,5,5,1,2,11048
170,3,2,2,0,5,5,1,2,10838
171,3,2,0,0,5,5,1,2,10838
172,3,2,5,0,4,5,1,2,10838
173,1,2,2,0,5,5,1,2,11100
174,3,2,0,0,5,5,1,2,11326
175,3,2,4,1,2,5,1,2,11678
176,5,2,2,0,4,5,1,2,12150
177,5,2,2,0,4,5,1,2,12150
178,5,2,2,0,4,5,1,2,12150
179,5,2,4,0,4,5,1,2,12150
180,3,2,0,0,2,5,1,2,11814
181,3,2,4,0,2,5,1,2,11814
182,1,2,1,0,0,5,1,2,11900
183,5,2,4,0,5,5,1,2,12308
184,5,2,2,0,5,5,1,2,12570
185,5,2,4,0,4,5,1,2,12570
186,5,2,1,0,0,5,1,2,12623
187,5,2,0,0,5,5,1,2,12623
188,5,2,1,0,5,5,1,2,12623
189,1,2,1,0,0,5,1,2,12298
190,3,2,5,0,4,5,1,2,12302
191,1,2,5,0,5,5,1,2,12465
192,5,2,0,0,4,5,1,2,12990
193,1,2,4,0,3,5,1,2,12675
194,4,2,0,0,2,5,1,2,12850
195,1,2,5,0,4,5,1,2,12990
196,1,2,4,0,5,5,1,2,12990
197,1,2,5,0,0,5,1,2,12990
198,1,2,2,0,0,5,1,2,12990
199,1,2,4,0,4,5,1,2,12990
200,2,2,1,0,5,5,1,2,13069
201,2,2,1,0,0,5,1,2,13321
202,5,2,2,0,5,5,1,2,13673
203,5,2,0,0,0,5,1,2,13830
204,5,2,2,0,5,5,1,2,14093
205,5,2,4,0,5,5,1,2,14093
206,5,2,4,0,5,5,1,2,14093
207,1,2,2,0,4,5,1,2,13830
208,2,2,1,0,2,5,1,2,14129
209,5,2,4,0,5,5,1,2,14513
210,5,2,4,0,5,5,1,2,14513
211,1,2,4,0,2,5,1,2,14250
212,2,2,2,0,4,5,1,2,14409
213,2,2,2,0,5,5,1,2,14487
214,5,2,0,0,5,5,1,2,14933
215,5,2,0,0,5,5,1,2,14933
216,5,2,0,0,5,5,1,2,15038
217,5,2,2,0,4,5,1,2,15353
218,5,2,2,0,4,5,1,2,15353
219,5,2,2,0,4,5,1,2,15353
220,5,2,2,0,5,5,1,2,15353
221,5,2,2,0,5,5,1,2,15353
222,2,2,4,0,2,5,1,2,15117
223,1,2,1,0,4,5,1,2,15195
224,3,2,1,0,0,5,1,2,15232
225,1,2,2,0,5,5,1,2,15510
226,3,2,4,0,0,5,1,2,15720
227,4,2,1,0,4,5,1,2,15720
228,3,2,0,0,5,5,1,2,15720
229,1,2,1,0,5,5,1,2,16035
230,5,2,0,0,5,5,1,2,16560
231,5,2,1,0,5,5,1,2,16560
232,2,2,1,0,0,5,1,2,16823
233,5,2,2,0,5,5,1,2,17348
234,5,2,2,0,5,5,1,2,17348
235,2,2,0,0,5,5,1,2,17136
236,1,2,5,0,5,5,1,2,18135
237,1,2,2,0,5,5,1,2,18135
238,5,2,0,0,2,5,1,2,19343
239,5,2,0,0,0,5,1,2,19553
240,5,2,1,0,0,5,1,2,19815
241,1,2,4,0,0,5,1,2,20445
242,1,2,0,0,0,5,1,2,21180
243,1,2,0,0,5,5,1,2,22335
244,2,2,4,0,2,5,1,2,23281
245,2,2,4,0,2,5,1,2,23281
246,5,2,4,0,0,5,1,2,24488
247,1,2,1,0,0,5,1,2,24855
248,5,2,0,0,5,5,1,2,25905
249,5,2,1,0,5,5,1,2,29160
250,1,2,4,0,2,5,1,2,29580
251,4,2,1,2,4,5,1,3,5953
252,4,2,1,2,4,5,1,3,5953
253,4,2,2,2,5,5,1,3,5953
254,5,2,4,2,4,5,1,3,5955
255,5,2,4,2,0,5,1,3,5955
256,5,2,4,2,4,5,1,3,5955
257,2,2,1,2,4,5,1,3,5954
258,2,2,2,2,5,5,1,3,5954
259,2,2,4,2,0,5,1,3,5954
260,2,2,2,2,5,5,1,3,5954
261,3,2,1,2,4,5,1,3,5955
262,3,2,4,2,0,5,1,3,5955
263,3,2,4,2,4,5,1,3,5955
264,3,2,4,2,4,5,1,3,5955
265,0,2,1,2,1,5,1,3,5956
266,1,2,1,2,4,5,1,3,5955
267,1,2,1,2,4,5,1,3,5955
268,1,2,2,2,5,5,1,3,5955
269,1,2,2,2,5,5,1,3,5955
270,2,2,2,0,1,5,1,3,5954
271,2,2,1,0,5,5,1,3,5954
272,1,2,2,0,5,5,1,3,5955
273,5,2,2,2,5,5,1,3,6375
274,4,2,2,2,5,5,1,3,6060
275,4,2,2,0,1,5,1,3,6270
276,5,2,2,2,5,5,1,3,6690
277,2,2,0,2,2,5,1,3,6532
278,2,2,5,2,5,5,1,3,6532
279,5,2,4,2,0,5,1,3,7005
