airline,source_city,departure_time,stops,arrival_time,destination_city,class,days_left,price
4,2,2,2,5,5,1,1,5953
4,2,1,2,4,5,1,1,5953
0,2,1,2,1,5,1,1,5956
5,2,4,2,0,5,1,1,5955
5,2,4,2,4,5,1,1,5955
5,2,4,2,0,5,1,1,5955
5,2,4,2,4,5,1,1,6060
5,2,0,2,2,5,1,1,6060
2,2,1,2,4,5,1,1,5954
2,2,0,2,2,5,1,1,5954
2,2,0,2,2,5,1,1,5954
2,2,4,2,0,5,1,1,5954
3,2,1,2,4,5,1,1,5955
3,2,4,2,0,5,1,1,5955
3,2,0,2,2,5,1,1,5955
3,2,4,2,4,5,1,1,5955
1,2,1,2,4,5,1,1,5955
1,2,1,2,4,5,1,1,5955
0,2,2,0,1,5,1,1,5949
0,2,2,0,4,5,1,1,5949
2,2,1,0,2,5,1,1,5954
2,2,1,0,5,5,1,1,5954
2,2,2,0,4,5,1,1,5954
1,2,2,0,5,5,1,1,5955
3,2,4,2,4,5,1,1,6165
5,2,0,2,2,5,1,1,6690
3,2,2,2,2,5,1,1,6585
0,2,4,0,0,5,1,1,8869
4,2,2,2,5,5,1,1,10260
3,2,2,2,5,5,1,1,10470
2,2,1,0,0,5,1,1,10575
3,2,0,0,2,5,1,1,10838
5,2,2,0,4,5,1,1,12150
5,2,2,0,4,5,1,1,12150
5,2,0,0,4,5,1,1,12150
5,2,4,0,4,5,1,1,12150
5,2,4,0,4,5,1,1,12150
1,2,1,0,0,5,1,1,11900
4,2,2,0,5,5,1,1,12123
4,2,2,0,4,5,1,1,12123
1,2,5,0,4,5,1,1,12150
1,2,0,0,4,5,1,1,12150
1,2,4,0,4,5,1,1,12150
1,2,1,0,4,5,1,1,12150
1,2,5,0,0,5,1,1,12215
4,2,2,0,0,5,1,1,12230
5,2,2,2,5,5,1,1,12780
5,2,0,0,0,5,1,1,12885
0,2,2,0,1,5,1,1,12539
1,2,2,0,0,5,1,1,12938
1,2,5,0,4,5,1,1,12990
1,2,4,0,4,5,1,1,12990
1,2,1,0,4,5,1,1,12990
1,2,0,0,0,5,1,1,13086
3,2,0,0,2,5,1,1,13279
3,2,2,0,5,5,1,1,13279
3,2,4,0,2,5,1,1,13279
3,2,0,0,5,5,1,1,13279
3,2,5,0,4,5,1,1,13279
5,2,0,0,0,5,1,1,13673
1,2,2,0,0,5,1,1,13410
5,2,1,0,0,5,1,1,13935
5,2,2,0,4,5,1,1,14040
5,2,0,0,0,5,1,1,14040
5,2,2,0,5,5,1,1,14093
5,2,2,0,5,5,1,1,14093
5,2,2,0,5,5,1,1,14093
3,2,0,0,5,5,1,1,13767
2,2,0,0,5,5,1,1,13932
5,2,5,0,0,5,1,1,14408
5,2,5,0,5,5,1,1,14408
1,2,5,0,0,5,1,1,14250
2,2,4,0,2,5,1,1,14539
5,2,1,0,5,5,1,1,14985
1,2,0,0,5,5,1,1,14670
1,2,2,0,4,5,1,1,15195
5,2,2,2,5,5,1,1,15720
5,2,2,0,5,5,1,1,15983
5,2,2,0,5,5,1,1,15983
3,2,4,0,0,5,1,1,15720
4,2,1,0,4,5,1,1,15720
3,2,1,0,0,5,1,1,15720
1,2,2,0,5,5,1,1,16245
5,2,2,0,5,5,1,1,16613
5,2,1,0,5,5,1,1,16665
5,2,2,0,5,5,1,1,16665
1,2,2,0,5,5,1,1,16455
1,2,2,0,5,5,1,1,16665
5,2,2,0,5,5,1,1,17348
5,2,0,0,5,5,1,1,17348
5,2,4,0,5,5,1,1,17348
5,2,4,0,5,5,1,1,17348
5,2,2,0,4,5,1,1,17348
5,2,1,0,0,5,1,1,17400
5,2,2,0,0,5,1,1,17505
5,2,0,0,5,5,1,1,17610
1,2,5,0,5,5,1,1,17295
5,2,0,0,2,5,1,1,17663
1,2,5,0,5,5,1,1,18030
5,2,2,0,0,5,1,1,18398
5,2,1,0,5,5,1,1,18450
2,2,4,0,2,5,1,1,18487
5,2,0,0,5,5,1,1,18923
5,2,4,0,5,5,1,1,18923
5,2,4,0,5,5,1,1,18923
5,2,2,0,4,5,1,1,19238
5,2,2,0,4,5,1,1,19920
1,2,0,0,5,5,1,1,19710
1,2,1,0,5,5,1,1,19710
5,2,1,0,5,5,1,1,20130
1,2,2,0,2,5,1,1,19815
5,2,2,0,5,5,1,1,21075
2,2,4,0,2,5,1,1,21111
1,2,4,0,2,5,1,1,23206
1,2,4,0,0,5,1,1,24540
1,2,1,0,2,5,1,1,25800
5,2,2,0,4,5,1,1,27270
1,2,4,0,2,5,1,1,29580
4,2,1,2,4,5,1,2,5953
4,2,2,2,5,5,1,2,5953
5,2,4,2,4,5,1,2,5955
5,2,2,2,5,5,1,2,5955
5,2,2,2,5,5,1,2,5955
5,2,4,2,4,5,1,2,5955
5,2,2,2,5,5,1,2,5955
5,2,5,2,5,5,1,2,6060
2,2,1,2,4,5,1,2,5954
2,2,0,2,2,5,1,2,5954
2,2,2,2,5,5,1,2,5954
2,2,5,2,5,5,1,2,5954
2,2,4,2,0,5,1,2,5954
2,2,2,2,5,5,1,2,5954
3,2,1,2,4,5,1,2,5955
3,2,2,2,2,5,1,2,5955
3,2,2,2,5,5,1,2,5955
3,2,4,2,0,5,1,2,5955
3,2,0,2,2,5,1,2,5955
3,2,5,2,5,5,1,2,5955
4,2,1,2,4,5,1,2,5955
3,2,4,2,4,5,1,2,5955
3,2,4,2,4,5,1,2,5955
0,2,1,2,1,5,1,2,5956
1,2,2,2,2,5,1,2,5955
1,2,1,2,4,5,1,2,5955
1,2,1,2,4,5,1,2,5955
1,2,2,2,5,5,1,2,5955
1,2,2,2,5,5,1,2,5955
0,2,2,0,1,5,1,2,5949
0,2,2,0,4,5,1,2,5949
2,2,1,0,5,5,1,2,5954
2,2,2,0,1,5,1,2,5954
1,2,0,0,2,5,1,2,5955
1,2,2,0,5,5,1,2,5955
5,2,4,2,0,5,1,2,6375
5,2,0,2,2,5,1,2,7530
5,2,0,2,2,5,1,2,7530
5,2,4,2,0,5,1,2,7530
0,2,2,0,1,5,1,2,7419
3,2,4,2,0,5,1,2,7845
3,2,1,0,2,5,1,2,8396
4,2,2,0,5,5,1,2,8869
4,2,2,0,4,5,1,2,9183
1,2,1,0,0,5,1,2,9840
1,2,4,0,5,5,1,2,9840
1,2,4,0,5,5,1,2,9840
5,2,0,0,0,5,1,2,10566
1,2,0,0,2,5,1,2,10303
3,2,4,0,0,5,1,2,10523
1,2,1,0,0,5,1,2,10523
5,2,5,0,5,5,1,2,11048
3,2,2,0,5,5,1,2,10838
3,2,0,0,5,5,1,2,10838
3,2,5,0,4,5,1,2,10838
1,2,2,0,5,5,1,2,11100
3,2,0,0,5,5,1,2,11326
3,2,4,1,2,5,1,2,11678
5,2,2,0,4,5,1,2,12150
5,2,2,0,4,5,1,2,12150
5,2,2,0,4,5,1,2,12150
5,2,4,0,4,5,1,2,12150
3,2,0,0,2,5,1,2,11814
3,2,4,0,2,5,1,2,11814
1,2,1,0,0,5,1,2,11900
5,2,4,0,5,5,1,2,12308
5,2,2,0,5,5,1,2,12570
5,2,4,0,4,5,1,2,12570
5,2,1,0,0,5,1,2,12623
5,2,0,0,5,5,1,2,12623
5,2,1,0,5,5,1,2,12623
1,2,1,0,0,5,1,2,12298
3,2,5,0,4,5,1,2,12302
1,2,5,0,5,5,1,2,12465
5,2,0,0,4,5,1,2,12990
1,2,4,0,3,5,1,2,12675
4,2,0,0,2,5,1,2,12850
1,2,5,0,4,5,1,2,12990
1,2,4,0,5,5,1,2,12990
1,2,5,0,0,5,1,2,12990
1,2,2,0,0,5,1,2,12990
1,2,4,0,4,5,1,2,12990
2,2,1,0,5,5,1,2,13069
2,2,1,0,0,5,1,2,13321
5,2,2,0,5,5,1,2,13673
5,2,0,0,0,5,1,2,13830
5,2,2,0,5,5,1,2,14093
5,2,4,0,5,5,1,2,14093
5,2,4,0,5,5,1,2,14093
1,2,2,0,4,5,1,2,13830
2,2,1,0,2,5,1,2,14129
5,2,4,0,5,5,1,2,14513
5,2,4,0,5,5,1,2,14513
1,2,4,0,2,5,1,2,14250
2,2,2,0,4,5,1,2,14409
2,2,2,0,5,5,1,2,14487
5,2,0,0,5,5,1,2,14933
5,2,0,0,5,5,1,2,14933
5,2,0,0,5,5,1,2,15038
5,2,2,0,4,5,1,2,15353
5,2,2,0,4,5,1,2,15353
5,2,2,0,4,5,1,2,15353
5,2,2,0,5,5,1,2,15353
5,2,2,0,5,5,1,2,15353
2,2,4,0,2,5,1,2,15117
1,2,1,0,4,5,1,2,15195
3,2,1,0,0,5,1,2,15232
1,2,2,0,5,5,1,2,15510
3,2,4,0,0,5,1,2,15720
4,2,1,0,4,5,1,2,15720
3,2,0,0,5,5,1,2,15720
1,2,1,0,5,5,1,2,16035
5,2,0,0,5,5,1,2,16560
5,2,1,0,5,5,1,2,16560
2,2,1,0,0,5,1,2,16823
5,2,2,0,5,5,1,2,17348
5,2,2,0,5,5,1,2,17348
2,2,0,0,5,5,1,2,17136
1,2,5,0,5,5,1,2,18135
1,2,2,0,5,5,1,2,18135
5,2,0,0,2,5,1,2,19343
5,2,0,0,0,5,1,2,19553
5,2,1,0,0,5,1,2,19815
1,2,4,0,0,5,1,2,20445
1,2,0,0,0,5,1,2,21180
1,2,0,0,5,5,1,2,22335
2,2,4,0,2,5,1,2,23281
2,2,4,0,2,5,1,2,23281
5,2,4,0,0,5,1,2,24488
1,2,1,0,0,5,1,2,24855
5,2,0,0,5,5,1,2,25905
5,2,1,0,5,5,1,2,29160
1,2,4,0,2,5,1,2,29580
4,2,1,2,4,5,1,3,5953
4,2,1,2,4,5,1,3,5953
4,2,2,2,5,5,1,3,5953
5,2,4,2,4,5,1,3,5955
5,2,4,2,0,5,1,3,5955
5,2,4,2,4,5,1,3,5955
2,2,1,2,4,5,1,3,5954
2,2,2,2,5,5,1,3,5954
2,2,4,2,0,5,1,3,5954
2,2,2,2,5,5,1,3,5954
3,2,1,2,4,5,1,3,5955
3,2,4,2,0,5,1,3,5955
3,2,4,2,4,5,1,3,5955
3,2,4,2,4,5,1,3,5955
0,2,1,2,1,5,1,3,5956
1,2,1,2,4,5,1,3,5955
1,2,1,2,4,5,1,3,5955
1,2,2,2,5,5,1,3,5955
1,2,2,2,5,5,1,3,5955
2,2,2,0,1,5,1,3,5954
2,2,1,0,5,5,1,3,5954
1,2,2,0,5,5,1,3,5955
5,2,2,2,5,5,1,3,6375
4,2,2,2,5,5,1,3,6060
4,2,2,0,1,5,1,3,6270
5,2,2,2,5,5,1,3,6690
2,2,0,2,2,5,1,3,6532
2,2,5,2,5,5,1,3,6532
5,2,4,2,0,5,1,3,7005
1,2,2,2,2,5,1,3,6795
2,2,0,2,2,5,1,3,7110
3,2,1,0,2,5,1,3,7420
3,2,4,0,0,5,1,3,7583
3,2,4,2,0,5,1,3,7845
3,2,2,2,5,5,1,3,8055
3,2,2,2,2,5,1,3,8370
3,2,0,2,2,5,1,3,8370
5,2,0,2,2,5,1,3,9525
5,2,0,0,0,5,1,3,9988
0,2,2,0,1,5,1,3,9840
1,2,0,0,0,5,1,3,9988
3,2,0,0,2,5,1,3,10523
5,2,1,0,5,5,1,3,11048
4,2,2,0,4,5,1,3,10759
1,2,2,0,5,5,1,3,10785
2,2,1,0,5,5,1,3,10863
3,2,5,0,4,5,1,3,10943
5,2,5,0,0,5,1,3,11415
5,2,2,0,0,5,1,3,11415
5,2,5,0,5,5,1,3,11415
3,2,2,0,5,5,1,3,11326
3,2,0,0,5,5,1,3,11326
1,2,2,0,0,5,1,3,11468
5,2,4,0,5,5,1,3,12098
5,2,4,0,4,5,1,3,12150
4,2,2,0,5,5,1,3,11809
3,2,0,0,2,5,1,3,11814
3,2,4,0,2,5,1,3,11814
1,2,5,0,0,5,1,3,11900
3,2,1,0,4,5,1,3,11993
4,2,0,0,2,5,1,3,12010
2,2,4,1,5,5,1,3,12045
2,2,2,0,4,5,1,3,12045
1,2,5,0,4,5,1,3,12150
1,2,5,0,5,5,1,3,12150
1,2,1,0,4,5,1,3,12150
2,2,2,0,5,5,1,3,12229
5,2,2,0,5,5,1,3,12623
1,2,0,0,0,5,1,3,12298
5,2,0,2,2,5,1,3,12780
1,2,1,0,5,5,1,3,12465
5,2,0,0,0,5,1,3,12885
3,2,2,0,5,5,1,3,12570
