,airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
0,4,2,2,2,5,5,1,2.17,1,5953
200153,3,1,0,0,5,4,1,6.17,25,4541
200154,3,1,2,0,5,4,1,7.25,25,4541
200155,3,1,0,0,5,4,1,7.58,25,4541
200156,4,1,4,0,2,4,1,11.58,25,4547
200157,4,1,4,0,4,4,1,24.17,25,4547
200158,3,1,0,2,2,4,1,2.33,25,4656
200159,0,1,4,0,0,4,1,3.75,25,4656
200160,1,1,4,0,2,4,1,9.25,25,4678
200161,1,1,1,0,2,4,1,13.0,25,4678
200162,1,1,4,0,4,4,1,23.08,25,4678
200163,1,1,1,0,4,4,1,26.83,25,4678
200164,1,1,0,0,4,4,1,17.92,25,4865
200165,3,1,4,0,0,4,1,5.42,25,5042
200166,3,1,4,0,0,4,1,5.92,25,5042
200167,3,1,2,0,5,4,1,5.92,25,5042
200168,3,1,4,0,2,4,1,6.75,25,5042
200169,3,1,4,0,0,4,1,6.83,25,5042
200170,3,1,0,0,5,4,1,6.83,25,5042
200171,3,1,0,0,5,4,1,7.0,25,5042
200172,3,1,2,0,5,4,1,7.08,25,5042
200173,3,1,4,0,2,4,1,8.08,25,5042
200174,3,1,1,0,0,4,1,8.5,25,5042
200175,3,1,4,0,2,4,1,8.5,25,5042
200176,3,1,4,0,2,4,1,8.75,25,5042
200177,3,1,4,0,2,4,1,8.75,25,5042
200178,1,1,2,0,4,4,1,16.0,25,5098
200179,1,1,2,0,2,4,1,26.17,25,5098
200180,1,1,0,0,5,4,1,8.75,25,5207
200181,1,1,0,0,0,4,1,21.25,25,5207
200182,1,1,5,0,0,4,1,18.17,25,5309
200183,3,1,1,2,4,4,1,2.42,25,5410
200184,5,1,4,0,2,4,1,7.33,25,5937
200185,5,1,4,0,2,4,1,8.83,25,5937
200186,5,1,1,0,2,4,1,11.17,25,5937
200187,5,1,5,0,4,4,1,11.5,25,5937
200188,5,1,4,0,5,4,1,12.0,25,5937
200189,5,1,5,0,4,4,1,12.5,25,5937
200190,5,1,1,0,2,4,1,12.67,25,5937
200191,5,1,1,0,5,4,1,15.83,25,5937
200192,5,1,5,0,2,4,1,21.0,25,5937
200193,5,1,4,0,4,4,1,21.83,25,5937
200194,5,1,5,0,2,4,1,22.5,25,5937
200195,5,1,4,0,4,4,1,22.83,25,5937
200196,5,1,1,0,4,4,1,25.67,25,5937
200197,5,1,5,0,5,4,1,25.67,25,5937
200198,5,1,1,0,4,4,1,26.67,25,5937
200199,1,1,1,0,0,4,1,8.33,25,5624
200200,1,1,4,0,5,4,1,12.42,25,5624
200201,1,1,1,0,5,4,1,16.17,25,5624
200202,5,1,2,0,4,4,1,15.42,25,6353
200203,5,1,2,0,4,4,1,16.42,25,6353
200204,5,1,2,0,2,4,1,24.92,25,6353
200205,5,1,2,0,2,4,1,26.42,25,6353
200206,1,1,2,0,0,4,1,21.5,25,6044
200207,3,1,5,0,3,4,1,5.17,25,6412
200208,3,1,4,0,2,4,1,8.42,25,6412
200209,3,1,0,0,5,4,1,7.67,25,6687
200210,5,1,4,0,2,4,1,7.08,25,7081
200211,5,1,0,0,2,4,1,7.42,25,7081
200212,5,1,1,0,2,4,1,9.83,25,7081
200213,5,1,4,0,2,4,1,10.17,25,7081
200214,5,1,1,0,2,4,1,12.92,25,7081
200215,5,1,5,0,4,4,1,13.17,25,7081
200216,5,1,5,0,2,4,1,20.33,25,7081
200217,5,1,0,0,4,4,1,21.17,25,7081
200218,5,1,5,0,2,4,1,23.42,25,7081
200219,5,1,4,0,4,4,1,23.92,25,7081
200220,5,1,1,0,4,4,1,26.67,25,7081
200221,5,1,0,0,2,4,1,28.33,25,7081
200222,3,1,3,0,4,4,1,6.92,25,6869
200223,3,1,4,0,2,4,1,8.33,25,6869
200224,1,1,1,0,2,4,1,11.42,25,6937
200225,2,1,0,0,5,4,1,9.83,25,6985
200226,2,1,1,0,2,4,1,12.5,25,6985
200227,3,1,2,0,3,4,1,7.08,25,7069
200228,3,1,2,0,3,4,1,8.25,25,7069
200229,1,1,4,0,5,4,1,13.75,25,7472
200230,1,1,1,0,5,4,1,17.5,25,7472
200231,5,1,4,0,2,4,1,8.33,25,8816
200232,5,1,4,0,2,4,1,9.83,25,8816
200233,5,1,0,0,5,4,1,10.25,25,8816
200234,5,1,0,0,5,4,1,10.25,25,9216
200235,2,1,4,0,0,4,1,5.42,25,9168
200236,2,1,5,0,1,4,1,8.42,25,10738
200237,5,1,0,0,2,4,1,31.08,25,14702
200238,5,1,4,0,2,4,1,33.83,25,14702
200239,5,1,5,0,2,4,1,23.08,25,15002
200240,5,1,0,0,2,4,1,31.08,25,15002
200241,0,1,2,0,5,4,1,5.0,26,2361
200242,0,1,0,0,2,4,1,5.5,26,2361
200243,0,1,0,0,5,4,1,6.83,26,2361
200244,0,1,2,0,3,4,1,9.5,26,2361
200245,0,1,5,0,4,4,1,10.42,26,2361
200246,0,1,5,0,4,4,1,11.0,26,2361
200247,0,1,0,0,3,4,1,11.33,26,2361
200248,3,1,5,0,1,4,1,9.17,26,2987
200249,3,1,5,0,1,4,1,10.75,26,2987
200250,2,1,2,0,1,4,1,14.25,26,3334
200251,3,1,5,0,1,4,1,7.33,26,3407
200252,3,1,5,0,1,4,1,8.92,26,3407
200253,3,1,2,0,1,4,1,10.42,26,3407
200254,3,1,1,0,0,4,1,6.75,26,3994
200255,0,1,4,2,0,4,1,2.33,26,4617
200256,0,1,5,2,3,4,1,2.42,26,4617
200257,3,1,2,2,5,4,1,2.17,26,4656
200258,3,1,2,2,5,4,1,2.33,26,4656
200259,3,1,2,0,3,4,1,7.67,26,4541
200260,3,1,0,0,3,4,1,9.67,26,4541
200261,3,1,2,0,5,4,1,5.58,26,4228
200262,3,1,0,0,5,4,1,6.92,26,4228
200263,1,1,4,2,0,4,1,2.58,26,4250
200264,4,1,2,2,5,4,1,2.42,26,4620
200265,1,1,4,0,2,4,1,9.25,26,4363
200266,1,1,4,0,5,4,1,12.42,26,4363
200267,1,1,1,0,2,4,1,13.0,26,4363
200268,1,1,1,0,5,4,1,16.17,26,4363
200269,1,1,5,0,0,4,1,16.17,26,4363
200270,1,1,2,0,0,4,1,19.5,26,4363
200271,1,1,5,0,2,4,1,22.83,26,4363
200272,1,1,2,0,2,4,1,26.17,26,4363
200273,1,1,4,0,0,4,1,26.58,26,4363
200274,1,1,1,0,0,4,1,30.33,26,4363
200275,3,1,5,0,1,4,1,9.33,26,4541
200276,4,1,4,0,2,4,1,11.58,26,4547
200277,4,1,4,0,4,4,1,24.17,26,4547
200278,1,1,2,0,5,4,1,7.58,26,4629
200279,1,1,2,0,4,4,1,16.75,26,4629
200280,1,1,1,0,5,4,1,17.33,26,4629
200281,1,1,1,0,4,4,1,26.5,26,4629
200282,3,1,0,2,2,4,1,2.33,26,4656
200283,3,1,1,2,4,4,1,2.42,26,4656
200284,0,1,4,0,0,4,1,3.75,26,4656
200285,1,1,5,0,4,4,1,12.67,26,4784
200286,1,1,2,0,4,4,1,16.0,26,4784
200287,1,1,4,0,4,4,1,23.08,26,4784
200288,1,1,5,0,5,4,1,26.0,26,4784
200289,1,1,1,0,4,4,1,26.83,26,4784
200290,3,1,4,0,2,4,1,9.33,26,4814
200291,3,1,4,0,2,4,1,6.75,26,5042
200292,3,1,5,0,1,4,1,6.75,26,5042
200293,3,1,2,0,3,4,1,7.08,26,5042
200294,3,1,4,0,2,4,1,7.42,26,5042
200295,3,1,0,0,5,4,1,7.67,26,5042
200296,3,1,4,0,2,4,1,8.08,26,5042
200297,3,1,2,0,3,4,1,8.25,26,5042
200298,3,1,4,0,2,4,1,8.5,26,5042
200299,3,1,2,0,3,4,1,9.17,26,5042
200300,3,1,2,0,1,4,1,9.5,26,5042
200301,3,1,4,0,5,4,1,9.75,26,5042
200302,3,1,4,0,5,4,1,10.75,26,5042
200303,3,1,3,1,4,4,1,7.67,26,5095
200304,3,1,3,1,4,4,1,8.0,26,5095
200305,3,1,4,1,2,4,1,9.83,26,5095
200306,3,1,4,1,2,4,1,10.58,26,5095
200307,1,1,1,0,0,4,1,8.33,26,5309
200308,3,1,0,2,0,4,1,2.42,26,5410
200309,5,1,4,0,2,4,1,7.33,26,5937
200310,5,1,4,0,2,4,1,8.83,26,5937
200311,5,1,1,0,2,4,1,11.17,26,5937
200312,5,1,5,0,4,4,1,11.5,26,5937
200313,5,1,4,0,5,4,1,12.0,26,5937
200314,5,1,5,0,4,4,1,12.5,26,5937
200315,5,1,1,0,2,4,1,12.67,26,5937
200316,5,1,1,0,5,4,1,15.83,26,5937
200317,5,1,5,0,2,4,1,21.0,26,5937
200318,5,1,4,0,4,4,1,21.83,26,5937
200319,5,1,5,0,2,4,1,22.5,26,5937
200320,5,1,4,0,4,4,1,22.83,26,5937
200321,5,1,1,0,4,4,1,25.67,26,5937
200322,5,1,5,0,5,4,1,25.67,26,5937
200323,5,1,1,0,4,4,1,26.67,26,5937
200324,5,1,2,0,4,4,1,15.42,26,5975
200325,5,1,2,0,4,4,1,16.42,26,5975
200326,5,1,2,0,2,4,1,24.92,26,5975
200327,5,1,2,0,2,4,1,26.42,26,5975
200328,1,1,4,0,4,4,1,23.58,26,5715
200329,1,1,5,0,2,4,1,21.25,26,6307
200330,1,1,2,0,2,4,1,24.58,26,6307
200331,5,1,4,0,2,4,1,7.08,26,7081
200332,5,1,0,0,2,4,1,7.42,26,7081
200333,5,1,1,0,2,4,1,9.83,26,7081
200334,5,1,4,0,2,4,1,10.17,26,7081
200335,5,1,1,0,2,4,1,12.92,26,7081
200336,5,1,5,0,2,4,1,20.33,26,7081
200337,5,1,5,0,2,4,1,23.42,26,7081
200338,5,1,0,0,2,4,1,28.33,26,7081
200339,3,1,4,1,2,4,1,8.33,26,6869
200340,2,1,0,0,5,4,1,9.83,26,6985
200341,2,1,1,0,2,4,1,12.5,26,6985
200342,5,1,5,0,4,4,1,13.17,26,7344
200343,5,1,0,0,4,4,1,21.17,26,7344
200344,5,1,4,0,4,4,1,23.92,26,7344
200345,5,1,1,0,4,4,1,26.67,26,7344
200346,1,1,4,0,5,4,1,13.75,26,7157
200347,1,1,1,0,5,4,1,17.5,26,7157
200348,3,1,2,0,3,4,1,6.25,26,7326
200349,5,1,4,0,2,4,1,8.33,26,8816
200350,5,1,4,0,2,4,1,9.83,26,8816
200351,5,1,0,0,5,4,1,10.25,26,8816
200352,5,1,0,0,5,4,1,10.25,26,9216
200353,2,1,4,0,0,4,1,5.42,26,9168
200354,2,1,5,0,1,4,1,8.42,26,10738
200355,5,1,5,0,2,4,1,23.08,26,14702
200356,5,1,0,0,2,4,1,31.08,26,14702
200357,5,1,4,0,2,4,1,33.83,26,14702
200358,0,1,2,0,3,4,1,9.5,27,2361
200359,0,1,5,0,4,4,1,10.42,27,2361
200360,0,1,5,0,4,4,1,11.0,27,2361
200361,1,1,4,0,4,4,1,23.58,27,3038
200362,2,1,2,0,1,4,1,14.25,27,3334
200363,3,1,5,0,1,4,1,9.17,27,3365
200364,0,1,2,0,5,4,1,5.0,27,4087
200365,0,1,4,2,0,4,1,2.33,27,4617
200366,0,1,5,2,3,4,1,2.42,27,4617
200367,3,1,4,0,2,4,1,9.33,27,4477
200368,3,1,2,2,5,4,1,2.17,27,4656
200369,3,1,0,0,5,4,1,6.17,27,4541
200370,3,1,2,0,5,4,1,6.25,27,4541
200371,3,1,2,0,5,4,1,7.25,27,4541
200372,3,1,0,0,5,4,1,7.58,27,4541
200373,3,1,0,0,5,4,1,8.25,27,4541
200374,3,1,0,0,5,4,1,9.25,27,4541
200375,3,1,4,0,2,4,1,7.42,27,4228
200376,1,1,4,2,4,4,1,2.58,27,4250
200377,4,1,2,2,5,4,1,2.42,27,4620
200378,4,1,1,2,4,4,1,2.5,27,4620
200379,1,1,5,0,4,4,1,12.67,27,4363
200380,1,1,5,0,2,4,1,22.83,27,4363
200381,3,1,2,2,5,4,1,2.33,27,4963
200382,3,1,4,0,2,4,1,8.75,27,4541
200383,4,1,4,0,2,4,1,11.58,27,4547
200384,4,1,4,0,4,4,1,24.17,27,4547
200385,3,1,5,0,1,4,1,7.33,27,4922
200386,3,1,5,0,1,4,1,8.92,27,4922
200387,1,1,0,0,4,4,1,17.92,27,4629
200388,1,1,0,0,0,4,1,21.25,27,4629
200389,1,1,1,0,4,4,1,26.5,27,4629
200390,1,1,1,0,0,4,1,29.83,27,4629
200391,3,1,0,2,2,4,1,2.33,27,4656
200392,0,1,4,0,0,4,1,3.75,27,4656
200393,1,1,2,0,4,4,1,16.0,27,4678
200394,1,1,2,0,2,4,1,26.17,27,4678
200395,3,1,0,0,5,4,1,6.92,27,5042
200396,1,1,5,0,0,4,1,18.17,27,4784
200397,1,1,5,0,5,4,1,26.0,27,4784
200398,3,1,1,2,4,4,1,2.42,27,4963
200399,3,1,4,0,0,4,1,5.42,27,5042
200400,3,1,1,0,0,4,1,6.75,27,5042
200401,3,1,4,0,2,4,1,6.75,27,5042
200402,3,1,4,0,0,4,1,6.83,27,5042
200403,3,1,0,0,5,4,1,6.83,27,5042
200404,3,1,0,0,5,4,1,7.0,27,5042
200405,3,1,2,0,3,4,1,7.08,27,5042
200406,3,1,0,0,5,4,1,7.67,27,5042
200407,3,1,4,0,2,4,1,8.08,27,5042
200408,3,1,2,0,3,4,1,8.25,27,5042
200409,3,1,1,0,0,4,1,8.5,27,5042
200410,3,1,3,1,4,4,1,7.67,27,5095
200411,1,1,1,0,2,4,1,13.0,27,5098
200412,1,1,1,0,4,4,1,26.83,27,5098
200413,1,1,2,0,0,4,1,21.5,27,5099
200414,1,1,0,0,5,4,1,8.75,27,5159
200415,1,1,1,0,5,4,1,17.33,27,5159
200416,3,1,4,0,0,4,1,5.92,27,5499
200417,1,1,1,0,5,4,1,16.17,27,5519
200418,5,1,4,0,2,4,1,7.33,27,5937
200419,5,1,4,0,2,4,1,8.83,27,5937
200420,5,1,1,0,2,4,1,11.17,27,5937
200421,5,1,5,0,4,4,1,11.5,27,5937
200422,5,1,4,0,5,4,1,12.0,27,5937
200423,5,1,1,0,2,4,1,12.67,27,5937
200424,5,1,1,0,5,4,1,15.83,27,5937
200425,5,1,5,0,2,4,1,21.0,27,5937
200426,5,1,4,0,4,4,1,21.83,27,5937
200427,5,1,5,0,2,4,1,22.5,27,5937
200428,5,1,1,0,4,4,1,25.67,27,5937
200429,5,1,5,0,5,4,1,25.67,27,5937
200430,1,1,4,0,2,4,1,9.25,27,5623
200431,1,1,4,0,4,4,1,23.08,27,5623
200432,5,1,5,0,4,4,1,12.5,27,6147
200433,5,1,4,0,4,4,1,22.83,27,6147
200434,5,1,1,0,4,4,1,26.67,27,6147
200435,5,1,2,0,4,4,1,15.42,27,6353
200436,5,1,2,0,2,4,1,24.92,27,6353
200437,5,1,2,0,2,4,1,26.42,27,6353
200438,1,1,4,0,5,4,1,12.42,27,6044
200439,5,1,2,0,4,4,1,16.42,27,6563
200440,3,1,4,0,2,4,1,8.42,27,6412
200441,3,1,2,0,3,4,1,9.17,27,6412
200442,5,1,4,0,2,4,1,7.08,27,7081
200443,5,1,0,0,2,4,1,7.42,27,7081
200444,5,1,1,0,2,4,1,9.83,27,7081
200445,5,1,4,0,2,4,1,10.17,27,7081
200446,5,1,1,0,2,4,1,12.92,27,7081
200447,5,1,5,0,2,4,1,20.33,27,7081
200448,5,1,5,0,2,4,1,23.42,27,7081
200449,5,1,0,0,2,4,1,28.33,27,7081
200450,3,1,3,0,4,4,1,6.92,27,6869
200451,3,1,4,0,2,4,1,8.33,27,6869
200452,2,1,0,0,5,4,1,9.83,27,6985
200453,2,1,1,0,2,4,1,12.5,27,6985
200454,5,1,5,0,4,4,1,13.17,27,7344
200455,5,1,0,0,4,4,1,21.17,27,7344
200456,5,1,4,0,4,4,1,23.92,27,7344
200457,5,1,1,0,4,4,1,26.67,27,7344
200458,1,1,1,0,2,4,1,11.42,27,7042
200459,5,1,4,0,2,4,1,8.33,27,8816
200460,5,1,4,0,2,4,1,9.83,27,8816
200461,5,1,0,0,5,4,1,10.25,27,8816
200462,5,1,0,0,5,4,1,10.25,27,9216
200463,2,1,4,0,0,4,1,5.42,27,9717
200464,2,1,5,0,1,4,1,8.42,27,10738
200465,5,1,0,0,2,4,1,31.08,27,14702
200466,5,1,4,0,2,4,1,33.83,27,14702
200467,5,1,5,0,2,4,1,23.08,27,16602
200468,5,1,0,0,2,4,1,31.08,27,16602
200469,0,1,2,0,5,4,1,5.0,28,2361
200470,0,1,2,0,3,4,1,9.5,28,2361
200471,1,1,4,0,4,4,1,23.58,28,3038
200472,2,1,2,0,1,4,1,14.25,28,3334
200473,3,1,5,0,1,4,1,9.17,28,3365
200474,3,1,5,0,1,4,1,7.33,28,3407
200475,3,1,5,0,1,4,1,8.92,28,3407
200476,0,1,5,0,4,4,1,10.42,28,4087
200477,0,1,5,0,4,4,1,11.0,28,4087
200478,0,1,5,2,3,4,1,2.42,28,4617
200479,3,1,2,2,5,4,1,2.17,28,4656
200480,3,1,2,2,5,4,1,2.33,28,4656
200481,3,1,2,0,5,4,1,5.58,28,4228
200482,3,1,0,0,5,4,1,6.92,28,4228
200483,3,1,4,0,2,4,1,7.42,28,4228
200484,1,1,4,2,0,4,1,2.58,28,4250
200485,4,1,2,2,5,4,1,2.42,28,4620
200486,1,1,4,0,2,4,1,9.25,28,4363
200487,3,1,1,0,0,4,1,6.75,28,4477
